id,name,guard_name,group,description
1,kelola_pengguna,web,Pengguna,Kelola data pengguna (lihat, buat, ubah, hapus)
2,lihat_pengguna,web,Pengguna,Lihat data pengguna sendiri
3,kelola_peran,web,Pengguna,Kelola peran dan hak akses
4,lihat_peran,web,Pengguna,Lihat daftar peran
5,kelola_kehadiran,web,Kehadiran,Kelola data kehadiran (lihat semua, ubah, hapus)
6,lihat_kehadiran,web,Kehadiran,Lihat kehadiran sendiri dan absen masuk/keluar
7,kelola_jadwal,web,Jadwal,Kelola jadwal (buat, ubah, hapus, generate, publish)
8,lihat_jadwal,web,Jadwal,Lihat jadwal dan input ketersediaan
9,kelola_tukar_jadwal,web,Jadwal,Kelola permintaan tukar jadwal (lihat semua, setujui)
10,ajukan_tukar_jadwal,web,Jadwal,Ajukan dan setujui tukar jadwal sebagai target
11,kelola_cuti,web,Cuti,Kelola permintaan cuti (lihat semua, setujui)
12,ajukan_cuti,web,Cuti,Ajukan permintaan cuti
13,kelola_pelanggaran,web,Pelanggaran,Kelola pelanggaran (buat, ubah, hapus, review banding)
14,lihat_pelanggaran,web,Pelanggaran,Lihat pelanggaran sendiri dan ajukan banding
15,kelola_penjualan,web,Transaksi,Kelola penjualan (lihat semua, buat, ubah, hapus)
16,lihat_penjualan,web,Transaksi,Lihat penjualan sendiri dan buat transaksi baru
17,kelola_produk,web,Transaksi,Kelola produk (buat, ubah, hapus)
18,lihat_produk,web,Transaksi,Lihat daftar produk
19,kelola_pembelian,web,Transaksi,Kelola pembelian (buat, ubah, hapus)
20,lihat_pembelian,web,Transaksi,Lihat daftar pembelian
21,kelola_stok,web,Transaksi,Kelola stok dan inventori
22,kelola_laporan,web,Laporan,Kelola laporan (lihat semua, ekspor)
23,lihat_laporan,web,Laporan,Lihat laporan sendiri
24,kelola_keuangan,web,Keuangan,Kelola keuangan (lihat, ubah, setujui)
25,lihat_keuangan,web,Keuangan,Lihat data keuangan
26,kelola_pengaturan,web,Sistem,Kelola pengaturan sistem
27,lihat_log_audit,web,Sistem,Lihat log audit sistem
28,kelola_notifikasi,web,Sistem,Kelola dan kirim notifikasi
29,kelola_poin_shu,web,Poin SHU,Kelola Poin SHU (lihat, kelola mahasiswa, tarik, sesuaikan, ekspor)
30,lihat_poin_shu,web,Poin SHU,Lihat data Poin SHU
